"Rank","Country","Forexres","Date","Change","Sources","NA","NA","newdate"
"China","3,288,000","15 Aug 2024","28,957","3,113,850","1 Apr 2024","415","[2]","28,957"
"Japan","1,235,700","5 Sep 2024","9,122","1,230,377","5 Apr 2024","4,598","[3]","9,122"
"Switzerland","802,438","31 Jul 2024","1,127","787,307","28 Mar 2024","198","[4]","1,127"
"India","689,235","6 Sep 2024","5,248","622,128","6 Sep 2024","1,437","[5]","5,248"
"Russia","606,100","2 Aug 2024","600","574,134","28 Jun 2024","106","[6]","600"
"Taiwan","568,107","3 Apr 2024","132","563,720","3 Apr 2024","17","[7]","132"
"Saudi Arabia","455,205","7 Apr 2024","23,642","454,772","7 Apr 2024","23,973","[8]","23,642"
"Hong Kong","425,153","1 Apr 2024","2,126","425,126","1 Apr 2024","137","[9]","2,126"
"South Korea","419,360","3 Apr 2024","3,580","419,360","3 Apr 2024","","[10]","3,580"
"Singapore","384,587","1 Aug 2024","5,968","347,083","1 Mar 2024","356","[11]","5,968"
"Brazil","352,705","1 Mar 2024","2,361","344,173","1 Mar 2024","361","[12]","2,361"
"Germany","339,800","31 Mar 2024","19,247","100,135","31 Mar 2024","734","[13]","19,247"
"United States","242,681","15 Mar 2024","1,422","231,640","15 Mar 2024","41","[14]","1,422"
"France","240,677","1 Mar 2024","2,400","120,745","1 Mar 2024","33","[15]","2,400"
"Thailand","230,624","31 Jul 2024","6,296","212,160","31 Jul 2024","5.380","[16]","6,296"
"Mexico","226,452","31 Jul 2024","686","216,965","30 Jun 2024","439","[17]","686"
"Poland","213,137","31 Aug 2024","6,933","180,844","31 Aug 2024","5,110","[18]","6,933"
"Israel","217,377","31 Aug 2024","3,743","217,377","31 Aug 2024","3,743","[19]","3,743"
"United Kingdom","188,793","31 Jul 2024","6,186","163,520","5 Mar 2024","43","[20]","6,186"
"United Arab Emirates","151,600","1 Mar 2024","3,540","146,400","1 Mar 2024","34","[21]","3,540"
"Czech Republic","144,996","1 Mar 2024","2,007","144,996","1 Mar 2024","","[22]","2,007"
"Indonesia","149,915","1 Mar 2024","3,515","149,915","1 Mar 2024","","[23]","3,515"
"Turkey","128,490","1 Mar 2024","3,391","79,060","1 Mar 2024","129","[24]","3,391"
"Netherlands","125,451","1 Mar 2024","212","125,451","1 Mar 2024","","[25]","212"
"Canada","116,251","1 Mar 2024","45","116,251","1 Mar 2024","","[26]","45"
"Philippines","104,482","1 May 2024","1,834","94,461","1 May 2024","2,069","[27]","1,834"
"Malaysia","102,241","1 Mar 2024","10,659","99,652","1 Mar 2024","","[28]","10,659"
"Iraq","100,000","25 Mar 2024","15,000","100,000","25 Mar 2024","","[29]","15,000"
"Spain","94,341","1 Mar 2024","5,485","94,341","1 Mar 2024","","[30]","5,485"
"Vietnam","93,342","1 Mar 2024","1,241","93,342","1 Mar 2024","","[31]","1,241"
"Belgium","82,000","1 Mar 2024","14,200","67,200","1 Mar 2024","79","[32]","14,200"
"Denmark","80,058","1 Mar 2024","1,261","75,660","1 Mar 2024","126","[33]","1,261"
"Romania","77,364","31 Mar 2024","7,498","69,866","31 Mar 2024","7,809","[34]","7,498"
"Peru","73,483","1 Mar 2024","201","data not available","1 Mar 2024","data not available","[35]","201"
"Norway","71,901","1 Mar 2024","330","data not available","1 Mar 2024","data not available","[36]","330"
"Libya","70,524","1 Mar 2024","238","data not available","1 Mar 2024","data not available","[37]","238"
"Italy","247,748","30 Apr 2024","8,882","77,727","30 Apr 2024","183","[38]","8,882"
"Algeria","68,028","1 Mar 2024","1,880","data not available","1 Mar 2024","data not available","[39]","1,880"
"Qatar","64,560","1 Mar 2024","8,931","data not available","1 Mar 2024","data not available","[40]","8,931"
"Sweden","59,568","23 Mar 2024","842","51,602","23 Mar 2024","147","[41]","842"
