index,collection,packageId,granuleId,title,detailsLink,pdfLink,publishdate
1,Congressional Hearings,CHRG-118hhrg53646,CHRG-118hhrg53646,Lasers and Water Cannons: Exposing The. Chinese Communist Party's Harassment in The. South China Sea,https://www.govinfo.gov/app/details/CHRG-118hhrg53646/CHRG-118hhrg53646,https://www.govinfo.gov/content/pkg/CHRG-118hhrg53646/pdf/CHRG-118hhrg53646.pdf,2023-09-28
2,Congressional Hearings,CHRG-118hhrg53237,CHRG-118hhrg53237,Stability and Security in the Western. Balkans: Assessing U.S. Policy,https://www.govinfo.gov/app/details/CHRG-118hhrg53237/CHRG-118hhrg53237,https://www.govinfo.gov/content/pkg/CHRG-118hhrg53237/pdf/CHRG-118hhrg53237.pdf,2023-07-18
3,Congressional Hearings,CHRG-118hhrg53228,CHRG-118hhrg53228,The Vilnius Summit and War in Ukraine: Assessing U.S. Policy Towards Europe and NATO,https://www.govinfo.gov/app/details/CHRG-118hhrg53228/CHRG-118hhrg53228,https://www.govinfo.gov/content/pkg/CHRG-118hhrg53228/pdf/CHRG-118hhrg53228.pdf,2023-06-22
4,Congressional Hearings,CHRG-118hhrg52788,CHRG-118hhrg52788,Markup of Various Measures,https://www.govinfo.gov/app/details/CHRG-118hhrg52788/CHRG-118hhrg52788,https://www.govinfo.gov/content/pkg/CHRG-118hhrg52788/pdf/CHRG-118hhrg52788.pdf,2023-06-21
5,Congressional Hearings,CHRG-118hhrg53783,CHRG-118hhrg53783,Examining the Fiscal Year 24 Bureau of Consular Affairs Budget,https://www.govinfo.gov/app/details/CHRG-118hhrg53783/CHRG-118hhrg53783,https://www.govinfo.gov/content/pkg/CHRG-118hhrg53783/pdf/CHRG-118hhrg53783.pdf,2023-06-07
6,Congressional Hearings,CHRG-118hhrg53078,CHRG-118hhrg53078,Examining the Fiscal Year 2024 State and Foreign Operations Budget Request for Europe,https://www.govinfo.gov/app/details/CHRG-118hhrg53078/CHRG-118hhrg53078,https://www.govinfo.gov/content/pkg/CHRG-118hhrg53078/pdf/CHRG-118hhrg53078.pdf,2023-05-23
7,Congressional Hearings,CHRG-118hhrg52398,CHRG-118hhrg52398,Markup of Various Measures,https://www.govinfo.gov/app/details/CHRG-118hhrg52398/CHRG-118hhrg52398,https://www.govinfo.gov/content/pkg/CHRG-118hhrg52398/pdf/CHRG-118hhrg52398.pdf,2023-05-16
8,Congressional Hearings,CHRG-118hhrg52144,CHRG-118hhrg52144,Exposing Putin's Crimes: Evidence of Russian War Crimes and Other Atrocities in Ukraine,https://www.govinfo.gov/app/details/CHRG-118hhrg52144/CHRG-118hhrg52144,https://www.govinfo.gov/content/pkg/CHRG-118hhrg52144/pdf/CHRG-118hhrg52144.pdf,2023-04-19
9,Congressional Hearings,CHRG-118hhrg52142,CHRG-118hhrg52142,Surrounding the Ocean: PRC Influence in the Indian Ocean,https://www.govinfo.gov/app/details/CHRG-118hhrg52142/CHRG-118hhrg52142,https://www.govinfo.gov/content/pkg/CHRG-118hhrg52142/pdf/CHRG-118hhrg52142.pdf,2023-04-18
10,Congressional Hearings,CHRG-118hhrg52143,CHRG-118hhrg52143,Great Power Competition in Africa: The Chinese Communist Party,https://www.govinfo.gov/app/details/CHRG-118hhrg52143/CHRG-118hhrg52143,https://www.govinfo.gov/content/pkg/CHRG-118hhrg52143/pdf/CHRG-118hhrg52143.pdf,2023-04-18
11,Congressional Hearings,CHRG-118hhrg52399,CHRG-118hhrg52399,"Oversight, Transparency, and Accountability of Ukraine Assistance",https://www.govinfo.gov/app/details/CHRG-118hhrg52399/CHRG-118hhrg52399,https://www.govinfo.gov/content/pkg/CHRG-118hhrg52399/pdf/CHRG-118hhrg52399.pdf,2023-03-29
12,Congressional Hearings,CHRG-118hhrg51597,CHRG-118hhrg51597,Full Committee Markup,https://www.govinfo.gov/app/details/CHRG-118hhrg51597/CHRG-118hhrg51597,https://www.govinfo.gov/content/pkg/CHRG-118hhrg51597/pdf/CHRG-118hhrg51597.pdf,2023-03-28
13,Congressional Hearings,CHRG-118hhrg52241,CHRG-118hhrg52241,"The State of American Diplomacy in 2023: Growing Conflicts, Budget Challenges, and Great Power Competition",https://www.govinfo.gov/app/details/CHRG-118hhrg52241/CHRG-118hhrg52241,https://www.govinfo.gov/content/pkg/CHRG-118hhrg52241/pdf/CHRG-118hhrg52241.pdf,2023-03-23
14,Congressional Hearings,CHRG-118hhrg51383,CHRG-118hhrg51383,Expanding the Abraham Accords,https://www.govinfo.gov/app/details/CHRG-118hhrg51383/CHRG-118hhrg51383,https://www.govinfo.gov/content/pkg/CHRG-118hhrg51383/pdf/CHRG-118hhrg51383.pdf,2023-03-09
15,Congressional Hearings,CHRG-118hhrg51256,CHRG-118hhrg51256,Combating the Generational Challenge of CCP Aggression,https://www.govinfo.gov/app/details/CHRG-118hhrg51256/CHRG-118hhrg51256,https://www.govinfo.gov/content/pkg/CHRG-118hhrg51256/pdf/CHRG-118hhrg51256.pdf,2023-02-28
